id,name,category,website_hint,one_liner,auth_methods,primary_auth,access_model,access_details,api_surface,api_breadth,mcp_status,buildability_verdict,main_blocker,priority_quadrant,evidence_url
66,Neo4j,"Developer, Infra and Data platforms",neo4j.com/docs/api,Native graph database platform for modeling complex networks and knowledge graphs.,Basic Auth (username:password); Bearer Token (Aura API Key),Basic Auth (Bolt) / Bearer (Aura API),Self-Serve Free,Free AuraDB cloud instance; credentials downloaded during database provisioning.,Bolt Protocol + REST (Aura Management API),Moderate (10-50 endpoints),Official MCP,Ready Today,"Primary data manipulation is Cypher query language over Bolt, not pure REST.",Alternative / CLI,https://neo4j.com/docs/aura/classic/aura-api/
67,Snowflake,"Developer, Infra and Data platforms",docs.snowflake.com,Cloud data warehouse and analytics data cloud platform.,Key Pair (JWT); OAuth2; User:Password,Key Pair (JWT),Self-Serve Free,30-day free trial with $400 credits; SQL REST API v2 accessible with generated keypair.,REST (SQL API v2),Broad (>50 endpoints),Official MCP,Ready Today,RSA Key-pair generation and JWT header assembly for SQL REST API.,Core Enterprise Bet,https://docs.snowflake.com/en/developer-guide/sql-api/index
68,MongoDB Atlas,"Developer, Infra and Data platforms",mongodb.com/docs/atlas/api,Fully managed multi-cloud document database service.,Digest Auth (Public/Private Key); Bearer Token; Atlas Data API Key,Digest Auth / Bearer,Self-Serve Free,Free M0 Sandbox cluster; programmatic API keys created under Access Management.,REST,Broad (>50 endpoints),Official MCP,Ready Today,Requires IP Access List entry or allowing `0.0.0.0/0`; HTTP Digest auth for admin endpoints.,Quick Win (Instant Toolkit),https://www.mongodb.com/docs/atlas/api/
69,Datadog,"Developer, Infra and Data platforms",docs.datadoghq.com/api,"Observability, monitoring, and security service for cloud-scale applications.",Dual Key: API Key (`DD-API-KEY`) + Application Key (`DD-APPLICATION-KEY`),Dual Key (API Key + App Key),Self-Serve Free,14-day free trial; keys generated under Organization Settings > API Keys and Application Keys.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Must send both `DD-API-KEY` and `DD-APPLICATION-KEY` headers for write actions.,Core Enterprise Bet,https://docs.datadoghq.com/api/latest/
70,Sentry,"Developer, Infra and Data platforms",docs.sentry.io/api,Application performance monitoring and error tracking platform for software teams.,Auth Token (Bearer Token with Scopes),Auth Token (Bearer),Self-Serve Free,Free Developer tier with 5k errors/month; tokens minted in User Settings > API > Auth Tokens.,REST,Broad (>50 endpoints),Official MCP,Ready Today,Organization slug and project slug parameterization across endpoint URLs.,Quick Win (Instant Toolkit),https://docs.sentry.io/api/
71,Notion,Productivity and Project Management,developers.notion.com,"Connected workspace for notes, wiki documents, and project databases.",Internal Integration Secret (Bearer `secret_`); OAuth2,Internal Integration Secret (Bearer),Self-Serve Free,Free workspace; create Internal Integration at notion.so/my-integrations instantly.,REST,Broad (>50 endpoints),Official MCP,Ready Today,User must explicitly click 'Connect to' on specific pages/databases to grant bot access.,Quick Win (Instant Toolkit),https://developers.notion.com/reference/intro
72,Airtable,Productivity and Project Management,airtable.com/developers,Low-code platform for creating relational databases and custom workflow applications.,Personal Access Token (Bearer `pat_`); OAuth2,Personal Access Token (Bearer),Self-Serve Free,Free tier available; create Personal Access Token at airtable.com/create/tokens.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Tokens require explicit scope and base permission assignment during creation.,Quick Win (Instant Toolkit),https://airtable.com/developers/web/api/introduction
73,Linear,Productivity and Project Management,developers.linear.app,Streamlined issue tracking and sprint planning tool for high-performance software teams.,Personal API Key (Header `lin_api_`); OAuth2,Personal API Key (Header `lin_api_`),Self-Serve Free,Free tier (up to 250 active issues); generate API key in Settings > Account > API.,GraphQL,Broad (>50 endpoints),Official MCP,Ready Today,Strictly GraphQL API requires structured query assembly instead of simple REST GET/POST.,Quick Win (Instant Toolkit),https://developers.linear.app/docs/graphql/working-with-the-graphql-api
74,Jira,Productivity and Project Management,developer.atlassian.com,Agile project and issue tracking tool for enterprise software development teams (Atlassian).,API Token (Basic Auth `email:token`); OAuth 2.0 (3LO),API Token (Basic Auth `email:token`),Self-Serve Free,Free plan (up to 10 users); generate API token at id.atlassian.com/manage-profile/security/api-tokens.,REST,Broad (>50 endpoints),Official MCP,Ready Today,Resolving Atlassian `cloudId` when using 3-legged OAuth (bypassed with Basic API token).,Quick Win (Instant Toolkit),https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/
75,Asana,Productivity and Project Management,developers.asana.com,Work management and collaboration platform for cross-functional project execution.,Personal Access Token (Bearer); OAuth2,Personal Access Token (Bearer),Self-Serve Free,Free Personal tier (up to 10 teammates); PAT created in Developer App Console.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Handling Asana workspace GID and project GID parameters.,Quick Win (Instant Toolkit),https://developers.asana.com/reference/rest-api-reference
76,Monday.com,Productivity and Project Management,developer.monday.com,"Work operating system with customizable visual boards for projects, CRM, and dev sprints.",Personal API Token (Bearer); OAuth2,Personal API Token (Bearer),Self-Serve Free,Free tier (up to 2 seats) or 14-day Pro trial; API token generated under Avatar > Developers.,GraphQL,Broad (>50 endpoints),Community MCP,Ready Today,GraphQL v2 mutation syntax and JSON column values encoding.,Quick Win (Instant Toolkit),https://developer.monday.com/api-reference/docs
77,ClickUp,Productivity and Project Management,clickup.com/api,"All-in-one productivity platform replacing tasks, docs, goals, and chat.",Personal API Key (Header `Authorization`); OAuth2,Personal API Key (Header `Authorization`),Self-Serve Free,Free Forever plan; personal API key generated under User Settings > Apps.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Deep hierarchy path traversal (`team_id` -> `space_id` -> `folder_id` -> `list_id` -> `task_id`).,Quick Win (Instant Toolkit),https://clickup.com/api
78,Coda,Productivity and Project Management,coda.io/developers,"All-in-one interactive collaborative doc platform blending text, spreadsheets, and apps.",API Token (Bearer); OAuth2,API Token (Bearer),Self-Serve Free,Free tier available; create API token at coda.io/account under API settings.,REST,Broad (>50 endpoints),Official MCP,Ready Today,None (clean modern REST v1 API).,Quick Win (Instant Toolkit),https://coda.io/developers/apis/v1
79,Smartsheet,Productivity and Project Management,smartsheet.com/developers,Enterprise spreadsheet-like work management platform for business operations.,Personal Access Token (Bearer); OAuth2,Personal Access Token (Bearer),Self-Serve Free,30-day free trial; generate token under Account > Personal Settings > API Access.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Requires paid plan ($9+/user/mo) after 30-day trial expires.,Core Enterprise Bet,https://smartsheet.redoc.ly/
80,Harvest,Productivity and Project Management,harvestapp.com (help.getharvest.com/api-v2),"Time tracking, project budgeting, and client invoicing software for professional services.",Personal Access Token (Bearer); OAuth2,Personal Access Token (Bearer),Self-Serve Free,"Free plan (1 seat, 2 projects) or 30-day trial; create Personal Access Token at id.getharvest.com/developers.",REST,Broad (>50 endpoints),Composio Native,Ready Today,Mandatory dual header: requires both `Authorization: Bearer <token>` and `Harvest-Account-Id: <id>`.,Quick Win (Instant Toolkit),https://help.getharvest.com/api-v2/
81,Stripe,Finance and Fintech,stripe.com/docs/api,"Global financial infrastructure platform for internet payments, billing, and payouts.",Secret API Key (Bearer `sk_test_` / `sk_live_`); Restricted Key; OAuth (Connect),Secret API Key (Bearer),Self-Serve Free,Completely free test mode; instant sandbox API keys without bank account verification.,REST,Broad (>50 endpoints),Official MCP,Ready Today,None (gold standard developer experience and API design).,Quick Win (Instant Toolkit),https://docs.stripe.com/api
82,Plaid,Finance and Fintech,plaid.com/docs,Financial data network connecting consumer bank accounts to fintech applications.,"Header Credentials (`PLAID-CLIENT-ID`, `PLAID-SECRET`)","Header Credentials (`PLAID-CLIENT-ID`, `PLAID-SECRET`)",Self-Serve Free,Free Sandbox environment with test credentials available immediately upon signup.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Production banking data requires compliance questionnaire and production key approval.,Core Enterprise Bet,https://plaid.com/docs/api/
83,Binance,Finance and Fintech,binance-docs.github.io,"Global cryptocurrency exchange platform for spot, futures, and algorithmic trading.",API Key + Secret (HMAC-SHA256 / Ed25519 signature in headers),API Key + HMAC Signature,Self-Serve Free,Free Spot Testnet allows instant API key generation; live trading requires identity KYC.,REST + WebSocket,Broad (>50 endpoints),Composio Native,Ready Today,Cryptographic timestamping and HMAC-SHA256 signature generation on private endpoints.,Core Enterprise Bet,https://binance-docs.github.io/apidocs/spot/en/
84,Paygent Connect,Finance and Fintech,paygent (NMI-powered),Merchant payment gateway integration platform (NMI / Japanese market payment gateway).,Security Key / Merchant Private Key; Basic Auth,Security Key / Merchant Key,Partner-Gated,"Requires formal merchant processing agreement, business underwriting, and merchant account setup.",REST / SOAP,Moderate (10-50 endpoints),None,High Friction,Strict merchant underwriting contract required; no public self-serve developer sandbox.,Strategic Outreach,https://www.paygent.co.jp/
85,iPayX,Finance and Fintech,ipayx.ai/docs,Enterprise and municipal utility bill payment processing and payment gateway.,API Token; Basic Auth / Mutual TLS,API Token,Partner-Gated,No public self-serve portal; access is strictly gated behind enterprise utility contracts.,Narrow (<10 endpoints),Narrow (<10 endpoints),None,Blocked,Closed legacy utility processing platform with no public developer signup or documentation.,Strategic Outreach,https://ipayx.ai/docs
86,QuickBooks,Finance and Fintech,developer.intuit.com,Accounting and financial management software for small businesses (Intuit).,OAuth 2.0 (Authorization Code Flow),OAuth 2.0,Self-Serve Free,Free Intuit Developer account provides instant sandbox company and OAuth app keys.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Production credentials require annual security assessment and app compliance review.,Core Enterprise Bet,https://developer.intuit.com/app/developer/qbo/docs/develop
87,Xero,Finance and Fintech,developer.xero.com,"Cloud accounting software for small businesses, accountants, and bookkeepers.",OAuth 2.0 (PKCE / Client Credentials for Custom Connections),OAuth 2.0,Self-Serve Free,30-day free trial and free Xero Developer account with Demo Company access.,REST,Broad (>50 endpoints),Composio Native,Ready Today,Must resolve tenant ID from `/connections` endpoint and pass `xero-tenant-id` header in requests.,Core Enterprise Bet,https://developer.xero.com/documentation/api/accounting/overview
88,Brex,Finance and Fintech,developer.brex.com,"Corporate cards, spend management, business banking, and travel booking for startups.",User API Token (Bearer); OAuth2,User API Token (Bearer),Admin-Approval,Tokens generated in Settings > Developer for verified Brex corporate account holders.,REST,Broad (>50 endpoints),Community MCP,Feasible with Auth Setup,"Requires an active, verified US corporate entity and funded Brex account.",Core Enterprise Bet,https://developer.brex.com/openapi/
89,Ramp,Finance and Fintech,docs.ramp.com,Corporate card and financial operations platform offering automated expense control and bill pay.,Developer API Token (Bearer); OAuth2,Developer API Token (Bearer),Admin-Approval,API keys generated in Ramp Dashboard > Settings > Developer for approved business accounts.,REST,Broad (>50 endpoints),Community MCP,Feasible with Auth Setup,Requires approved business entity on Ramp to generate API tokens.,Core Enterprise Bet,https://docs.ramp.com/developer-api/rest
90,PitchBook,Finance and Fintech,pitchbook.com (research API),"Comprehensive data and research platform covering venture capital, private equity, and M&A.",API Key / OAuth2 Bearer,API Key,Partner-Gated,Strictly enterprise contract ($25k-$50k+/year); credentials provisioned directly by PitchBook representative.,Broad (>50 endpoints),Broad (>50 endpoints),None,High Friction,Heavy enterprise paywall and sales gate; absolutely no public developer sandbox.,Strategic Outreach,https://pitchbook.com/products/api
91,NotebookLM,"AI, Research and Media-native",cloud.google.com/gemini (Enterprise API),AI-powered personalized research assistant that grounds summaries on user-provided sources.,Google Cloud OAuth2 / Service Account (Vertex AI),Google Cloud OAuth2,Admin-Approval,Consumer app has no standalone public API; enterprise programmatic capabilities are accessed via Google Cloud Vertex AI Search & Conversation API.,REST (Vertex AI / Gemini API),Moderate (10-50 endpoints),Community MCP,Feasible with Auth Setup,No standalone public NotebookLM endpoint; developers must integrate Google Cloud Vertex AI Search / Grounding API or use community browser automation.,Core Enterprise Bet,https://cloud.google.com/gemini
92,Otter AI,"AI, Research and Media-native",help.otter.ai (MCP server),"AI meeting assistant providing automated real-time transcription, summaries, and action items.",Enterprise Token / OAuth2; MCP Client Config,Enterprise Token,Self-Serve Paid,Official Otter MCP server and API endpoints are restricted to Otter Enterprise account tiers with admin approval.,Moderate (10-50 endpoints),Moderate (10-50 endpoints),Official MCP,Feasible with Auth Setup,Official MCP server is paywalled behind Otter Enterprise subscription plans.,Core Enterprise Bet,https://help.otter.ai/hc/en-us/articles/32410313575959-Otter-MCP-server
93,Fathom,"AI, Research and Media-native",fathom.video,"AI meeting recorder that records, transcribes, and summarizes Zoom, Google Meet, and Teams calls.",API Key (Bearer Token),API Key (Bearer Token),Self-Serve Paid,API keys generated in Fathom dashboard under Settings > API; requires Fathom Team Edition ($19+/mo).,REST,Moderate (10-50 endpoints),Community MCP,Feasible with Auth Setup,API access is gated to paid Team Edition accounts; free tier cannot generate keys.,Core Enterprise Bet,https://fathom.video/
94,Consensus,"AI, Research and Media-native",consensus.app (OAuth requested),AI-powered academic search engine extracting scientific consensus and paper findings.,API Key (Bearer Token) / Commercial Partner Token,API Key,Partner-Gated,Commercial API access requires partnership agreement or direct sales inquiry (OAuth requested by community).,Moderate (10-50 endpoints),Moderate (10-50 endpoints),None,High Friction,Public self-serve developer tier not yet open; OAuth2 is requested by users but currently partner inquiry only.,Strategic Outreach,https://consensus.app
95,Reducto,"AI, Research and Media-native",reducto.ai (document parsing),High-accuracy AI document ingestion and visual parser converting complex PDFs into structured data.,API Key (Bearer Token),API Key (Bearer Token),Self-Serve Free,Free developer tier with $10 free parsing credits upon registration; instant API key.,REST,Moderate (10-50 endpoints),Community MCP,Ready Today,None (first-class developer onboarding and clean REST endpoints).,Quick Win (Instant Toolkit),https://docs.reducto.ai/
96,Devin,"AI, Research and Media-native",docs.devin.ai (MCP),Autonomous AI software engineering agent developed by Cognition.,Personal Access Token / API Key (`Bearer cogn_...`); MCP Server Protocol,API Key (`Bearer cogn_...`),Self-Serve Paid,Requires active paid Devin subscription ($500/mo); API keys generated in Settings > Integrations.,REST + MCP,Moderate (10-50 endpoints),Official MCP,Feasible with Auth Setup,High subscription barrier ($500/month) required to obtain API key and run Devin MCP sessions.,Core Enterprise Bet,https://docs.devin.ai/
97,higgsfield,"AI, Research and Media-native",higgsfield.ai/cli (content suite),Generative video and multimodal video creation platform for mobile video creators.,CLI Token / Session Auth / API Token,CLI Token / API Token,Self-Serve Free,Free account registration allows downloading CLI and running initial model generations with free credits.,CLI / REST,Moderate (10-50 endpoints),None,Ready Today,Heavy GPU inference credit consumption for video models.,Alternative / CLI,https://higgsfield.ai/cli
98,Mermaid CLI,"AI, Research and Media-native",github.com/mermaid-js/mermaid-cli,"Command-line interface to compile Mermaid text diagram definitions into SVG, PNG, and PDF files.",None (Open-Source Local CLI),None,Self-Serve Free,100% free open-source npm package (`@mermaid-js/mermaid-cli`); zero credentials needed.,CLI / Local,Narrow (<10 endpoints),Community MCP,Ready Today,Requires headless Chromium/Puppeteer environment in container runtime.,Alternative / CLI,https://github.com/mermaid-js/mermaid-cli
99,YouTube Transcript,"AI, Research and Media-native",transcriptapi.com,"API service for extracting timed captions, subtitles, and video transcripts from YouTube videos.",API Key (Bearer / Header `X-API-Key`); None (if using open-source Python library),API Key,Self-Serve Free,Free tier available via RapidAPI or transcriptapi.com (50-100 free requests/month).,REST,Narrow (<10 endpoints),Community MCP,Ready Today,YouTube IP-blocking and rate limiting on unofficial scrapers; resolved by hosted proxy API.,Quick Win (Instant Toolkit),https://transcriptapi.com/
100,Grain,"AI, Research and Media-native",grain.com (meeting notes),"AI meeting intelligence software that records sales calls, summarizes notes, and automates CRM logging.",API Key (Bearer Token); Webhooks,API Key (Bearer Token),Self-Serve Paid,API access requires a paid Business or Enterprise workspace plan ($15+/seat/month).,REST,Moderate (10-50 endpoints),None,Feasible with Auth Setup,API generation is restricted to paid Business/Enterprise tier workspaces.,Core Enterprise Bet,https://grain.com
